autor_comentario,nota_comentario,conteudo_comentario,criticas_autor,seguidores_autor,conteudo_tokens,conteudo_stem,conteudo_lema
Miguel Neto,4.5,"Bela homenagem ao tempo do cinema mudo. Estamos acostumados a ver “Remakes”  onde o novo supera o antigo com novas tecnologias, novas cores e novos efeitos especiais. Aqui a proposta foi inversa, fazer um filme velho nos dias de hoje e o resultado é surpreendente.O filme em nada lembra os dias de hoje, a cenografia, os carros, o vestuário, tudo enfim parece acontecer na década de 30. A história é bastante singela, mas emociona a atuação dos atores nos contando uma história usando apenas caras e gestos.Atuação com destaque para a última dança, impecável. Legal encontrar o Fred Flintstone e o Xerife do Homem Aranha no elenco.Filme imperdível, ficará para a história.",98.0,75.0,bela homenagem cinema mudo estamos acostumados “ remakes ”   supera antigo tecnologias cores efeitos especiais proposta inversa filme velho dias hoje resultado surpreendente filme lembra dias hoje cenografia carros vestuário enfim acontecer década 30 história singela emociona atuação atores contando história usando caras gestos atuação destaque última dança impecável legal encontrar fred flintstone xerife homem aranha elenco filme imperdível ficará história,bel homen cinem mud est acostum “ remak ”   sup antig tecnolog cor efeit espec propost invers film velh dia hoj result surpreend film lembr dia hoj cenograf carr vestu enfim acontec déc 30 histór singel emoc atu at cont histór us car gest atu destaqu últ danç impec legal encontr fred flintston xerif hom aranh elenc film imperd fic histór,belo homenagem cinema mudo estar acostumado “ remakes ”    superar antigo tecnologia cor efeito especial proposta inverso filme velho dia hoje resultado surpreendente filme lembrar dia hoje cenografia carro vestuário enfim acontecer década 30 história singelo emocionar atuação ator contar história usar cara gesto atuação destaque último dança impecável legal encontrar fred flintstone xerife homem arar elenco filme imperdível ficar história
danicarreis,5.0,"Este filme é realmente uma obra prima!!!!! Lindo demais, de uma sensibilidade impressionante...AMEI!!!!!  Não foi à toa que levou 5 estatuetas no Oscar!!!",70.0,46.0,filme realmente obra prima lindo sensibilidade impressionante ... amei   toa levou 5 estatuetas oscar,film real obr prim lind sensibil impression ... ame   toa lev 5 estatuet osc,filme realmente obra primo lir sensibilidade impressionante ... amei    toa levar 5 estatueta oscar
Ferris Bueller N.,3.0,Uma sensível homenagem aos primórdios do cinema. Atuação Excelente de Dujardin.,94.0,45.0,sensível homenagem primórdios cinema atuação excelente dujardin,sens homen primórdi cinem atu excel dujardin,sensível homenagem primórdio cinema atuação excelente dujardin
Jairo D.,5.0,"O cinema como sétima arte é fenomenal em todos os sentidos que ele é feito. E aqui temos um belo exemplar dele. Com uma simplicidade gigante, este filme, na mesma proporção, nos cativa, emociona, entretém e nos faz refletir sobre as idéias e o quanto elas são valiosas por mais simples que seja. Parabéns, a esta Obra-prima memorável!",305.0,1337.0,cinema arte fenomenal sentidos feito belo exemplar dele simplicidade gigante filme mesma proporção cativa emociona entretém refletir idéias valiosas simples seja parabéns obra-prima memorável,cinem art fenomen sent feit bel exempl del simplic gigant film mesm proporç cativ emoc entretém reflet idé vali simpl sej parabém obra-pr memor,cinema arte fenomenal sentido fazer belo exemplar de ele simplicidade gigante filme mesmo proporção cativo emocionar entretémr refletir idéia valioso simples ser parabéns obra-prima memorável
Cleber R.,5.0,"O Artista não é só um filme é também uma homenagem ao cinema mudo a uma época em que os filmes eram mais criativos e cativantes. É um grande filme pra quem como eu curte os classicos do cinema. O elenco dá um show atuando sem falas, principalmente o casal protagonista e o cãozinho companheiro do Artista e mascote do filme. A produção técnica do filme é impecável e nos transporta facilmente à Hollywood dos anos 20. A belíssima fotografia preto e branco nos faz esquecer dos filmes super coloridos a que estamos acostumados e a mergulhar na emocionante história que Michel Hazanavicius narra com maestria. Um grande filme uma grande homenagem.",34.0,7.0,artista filme homenagem cinema mudo época filmes eram criativos cativantes filme pra curte classicos cinema elenco show atuando falas principalmente casal protagonista cãozinho companheiro artista mascote filme produção técnica filme impecável transporta facilmente hollywood anos 20 belíssima fotografia preto branco esquecer filmes super coloridos estamos acostumados mergulhar emocionante história michel hazanavicius narra maestria filme homenagem,artist film homen cinem mud époc film er cria cativ film pra curt class cinem elenc show atu fal princip casal protagon cão companh artist mascot film produç técn film impec transport facil hollywood ano 20 bel fotograf pret branc esquec film sup color est acostum mergulh emocion histór michel hazanavic narr maestr film homen,artista filme homenagem cinema mudo época filme ser criativo cativante filme pra curte classico cinema elenco show atuar fala principalmente casal protagonista cãozinho companheiro artista mascote filme produção técnico filme impecável transportar facilmente hollywood ano 20 belíssimo fotografia preto branco esquecer filme super colorir estar acostumado mergulhar emocionante história Michel hazanavicius narrar maestria filme homenagem
Ronaldo M,5.0,"Não é à toa que o cinema traz no seu bojo a concepção da ""Sétima Arte"".O Artista é um belíssimo tributo ao cinema mudo, desde a impecável reconstitução de cenas da década de 30, até a performance de um elenco primoroso, sem deixar de citar o cãozinho Oggi, que merecia o troféu ""Osso de Ouro"".Em pleno segundo milênio, uma produção do cinema mudo, em preto e branco, que prende a atenção todo o tempo, na contra-mão das produções cinematográficas sofisticadas em tecnologias.Recomendadíssimo!",36.0,24.0,"toa cinema traz bojo concepção arte"" artista belíssimo tributo cinema mudo impecável reconstitução cenas década 30 performance elenco primoroso deixar citar cãozinho oggi merecia troféu osso ouro"" pleno milênio produção cinema mudo preto branco prende atenção contra-mão produções cinematográficas sofisticadas tecnologias recomendadíssimo","toa cinem traz boj concepç arte"" artist bel tribut cinem mud impec reconstituç cen déc 30 performanc elenc primor deix cit cão ogg merec troféu oss ouro"" plen milêni produç cinem mud pret branc prend atenç contra-m produç cinematográf sofistic tecnolog recomend","toa cinema trazer bojo concepção arte "" artista belíssimo tributo cinema mudo impecável reconstitução ceno década 30 performance elenco primoroso deixar citar cãozinho oggi merecer troféu osso ouro "" pleno milênio produção cinema mudo preto branco prender atenção contra-mão produção cinematográfico sofisticado tecnologia recomendadíssimo"
Sandro M.,4.5,"Gostei da fotografia, das músicas e o romance que é muito bacana e tem ótimas sacadas de humor com um final muito maneiro.",6.0,13.0,gostei fotografia músicas romance bacana ótimas sacadas humor maneiro,gost fotograf músic romanc bacan ótim sac hum man,gostar fotografia música romance bacano ótimo sacada humor maneiro
Eder Luis Santana,5.0,"O novo sempre vem e, diante dele, você precisa aprender a se renovar. É com essa mensagem simples que O Artista é um filme abarrotado de beleza. Belo nas imagens em preto e branco, belo na interpretação dos personagens e belo na narrativa conduzida com maestria pelo diretor Michel Hazanavicius. Não se engane caso, nos primeiros minutos, você tiver a sensação de que a obra te dará sono e será difícil de aguentar. É uma sensação rápida, que desaparece depois que a trama se desenvolve de modo envolvente lá pelos primeiros 20 minutos. Esse estranhamento inicial é até natural, já que estamos longe de fazer parte da geração acostumada ao cinema mudo. E se deparar tão envolvido com uma obra em formato não contemporâneo é um dos grandes méritos oferecidos aos espectadores de O Artista.",49.0,16.0,dele precisa aprender renovar mensagem simples artista filme abarrotado beleza belo imagens preto branco belo interpretação personagens belo narrativa conduzida maestria diretor michel hazanavicius engane caso primeiros minutos tiver sensação obra dará sono será difícil aguentar sensação rápida desaparece trama desenvolve modo envolvente primeiros 20 minutos estranhamento inicial natural estamos geração acostumada cinema mudo deparar envolvido obra formato contemporâneo méritos oferecidos espectadores artista,del precis aprend renov mens simpl artist film abarrot bel bel imag pret branc bel interpret person bel narr conduz maestr dire michel hazanavic engan cas prim minut tiv sens obr dar son ser difícil aguent sens rápid desaparec tram desenvolv mod envolv prim 20 minut estranh inic natur est ger acostum cinem mud depar envolv obr format contemporâne mérit oferec espect artist,de ele precisar aprender renovar mensagem simples artista filme abarrotar beleza belo imagens preto branco belo interpretação personagem belo narrativa conduzir maestria diretor Michel hazanavicius enganer caso primeiro minuto ter sensação obra dar sono ser difícil aguentar sensação rápido desaparecer trama desenvolver modo envolvente primeiro 20 minuto estranhamento inicial natural estar geração acostumar cinema mudo deparar envolver obra formato contemporâneo mérito oferecer espectador artista
Cid V,3.0,"George Valentin (Dujardin) é um ator de grande sucesso no cinema mudo que vê sua carreira desabar vertiginosamente com a ascensão do cinema sonoro e, com este, catapultar a jovem Peppy Miller (Bejo), que tempos antes era somente uma dentre suas muitas fãs.Mais em: https://magiadoreal.blogspot.com/2020/07/filme-do-dia-o-artista-2011-michel.html",573.0,257.0,george valentin dujardin ator sucesso cinema mudo vê carreira desabar vertiginosamente ascensão cinema sonoro catapultar jovem peppy miller bejo tempos dentre muitas fãs https://magiadoreal.blogspot.com/2020/07/filme-do-dia-o-artista-2011-michel.html,georg valentin dujardin at sucess cinem mud vê carr desab vertiginos ascens cinem sonor catapult jov peppy mill bej temp dentr muit fã https://magiadoreal.blogspot.com/2020/07/filme-do-dia-o-artista-2011-michel.html,George valentin dujardin ator sucesso cinema mudo ver carreira desabar vertiginosamente ascensão cinema sonoro catapultar jovem peppy miller bejo tempo dentre muito fã https://magiadoreal.blogspot.com/2020/07/filme-do-dia-o-artista-2011-michel.html
felipinho,4.0,O Artista resgata com perfeição a magia que o cinema e a imagem foi perdendo durante os anos e encanta muito mais que as dezenas de filmes modernos tecnologicamente e de grande orçamento. É praticamente um filme da década 20. De fazer os olhos brilharem!”,65.0,32.0,artista resgata perfeição magia cinema imagem perdendo durante anos encanta dezenas filmes modernos tecnologicamente orçamento praticamente filme década 20 olhos brilharem ”,artist resgat perfe mag cinem imag perd dur ano encant dezen film modern tecnologic orç pratic film déc 20 olh brilh ”,artista resgatar perfeição magia cinema imagem perder durante ano encantar dezena filme moderno tecnologicamente orçamento praticamente filme década 20 olho brilhar ”
