autor_comentario,nota_comentario,conteudo_comentario
Maria Eduarda Gretter,3,bom sequência aparição buck charme filme cansar importa quantas assista graça
Jamille,1,deixar desejar 2 arrisco realmente bom 3    envolver aventura    diversão garantir    criança
Um visitante,1,caso gelo 2 filme legal determinar parte engraçar abaixo
gsamber,1,filme ótimo assistir 3d gelo chegar pé filme pixar dreamworks ...
mktjorgejpa,2,primeiro filme fraco ter ser ruim sair contexto histórico filme continuar engraçado cid pra eu bom personagem trama piar trapalhada tirar bom gargalhada
Amanda M.,3,filme incrível engraçar mundo dinossauros opinião ideia incrível
Julien,1,otimo filme filho adorar gostar tambem divertido vario cena bonito criativo ritmo bacano
Guilherme de Melo,2,gelo 3 2009 edição franquia continuar conquistar público humor levar personagem carismático cena divertido filme aventura começar manny turma descobr terra congelar esconder caverna misterioso repleta dinossauro sobrevivente chegar personagem pequeno criatura chamar sid colocar missão claro comédia situação absurr garantir trunfo gelo 3 manter fórmula sucesso filme anterior diversão amizade momento engraçar trio manny Sid diego continuar funcionar trazer personalidade distinto situação hilário surgir sid jeito desajeitar seguir ser personagem engraçar turma interação dinossauros resto rendir bom risada animação filme impressionante época efeito visual detalhe dinossauro criação ambiente natural pré-histórico bem-feito elevar experiência cena ação momento fuga corrida animado ritmo energia perder toque leve caracterizar filme adição personagem Mamute ellier dinossauro tubarão maneira renovar dinâmico história trazer frescor franquia trama envolver manny paternidade dificuldade adaptar contexto familiar trazer camada emocional interessante abrir espaço tema crescimento pessoal união entanto filme tanto inovação anteriores positivo negativo entregar exatamente público esperar filme gelo — risada histório simples agradável outro fórmula começar parecer repetitivo trama dinossauro apesar interessante impactante histório aventura gênero resumo gelo 3 filme animação manter charme anterior animação personagem adorável humor trazer inovação entregar experiência divertido levar nota 4 5 justo — bom entretenimento chegar marco filme animação
Guilherme Jeveaux,3,Aquiii maravilhoso bom amo mãe dinossauro sid mães solteira viver criança
Buck J,3,mano bom franquia ver pq filme sentido gelo 3 explicar acontecer dino personagem super engraçado personagem favorito adorar último batalha!!!história 10/10personagem 10/10animação 9/10vilão 10/10filme 10/10
Firmezão,1,gelo conseguir mudar cenário ok gente ver quase filme diferente personagem situação tornar enjoativo pouco filme hoje dia conseguir rir precisar diálogo ...
Canal FEIJÃO - Gabriel S.,3,"gelo(2002 americano chris Wedge diretor brasileiro Carlos Saldanha co-diretor filme excelente gelo 2 degelo(2006 chris Wedge diretor(ou co-diretor Carlos Saldanha diretor(não co-diretor único filme mulher(no caso estele elliott co-diretora filme ótimo bom gelo 3 despertar dinossauros(2009 canadense michael thurmeier co-diretor Estella elliott co-diretora(ou diretora),mal brasileiro Carlos Saldanha diretor história filme diferente gelo 1(que surgimento gelo humano pré históricos);do gelo 2 degelo(que falar inundações;o quase gelo extinção mundo);do gelo 4 deriva continental(que falar piratas;fim mundo;amizade;drama;comédio separação continente gelo big bang(que falar ciência;asteroide;et;meteoro;comédia;amizade;drama zuer mundo gelo 3 despertar dinossauro falar bando descobrir retorno dinossauro ter salvar Sid enfrentar dinossauro ver diferente filme animal pré histórico comportar humano atual único defeito interferir filme buck;sid;crash;eddie;scrat scratita bebê t-rexes coisa engraçar filme bom personagem manny;crash;eddie;rudy;ellie;buck;mãe t-rexa bebê t-rexes;sid diego 3d ruim animação visualmente lindo fazer 1 2 história achei filme bom 1;o 2;o 4 5 10,10 10,2/10,10 0 5,10 5,2/5,10.a gelo bom trilogia 2002;2006 2009.tchau"
Gabriel Sotello N.,3,história 10/10personagens 10/10desenvolvimento 10/10trilha sonoro 10/10dublagem 10/10comédia 10/10animação 9/10conclusão bom filme saga dar 10/10
Lilian,1,legal filme
Pedro A.,3,gosto filmes(tb adorar natal
Isabella Rogatschenko,1,gostar ... manter anterior
thiago,1,filme comparar anterior deixar desejar engraçado divertido recomendar sessão global rs
Weslley S,1,so pra trayler lixo frague ganhar vizualização nao filme palhaçar
Paulo J,3,jhhnsnfafsjfasfnaufnsfnasfunasfuasfusfnaufsjajajjaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa ijs viuvs fvwdewfnwefnwfuwnefwfweuivwneuvwn
vinicius pereira,1,n com si filmeaparecer trailer n querer
Ruan R.,3,otimo filme ver gente caraco adoreiiiiiiiiii
Felipe F.,2,"animação trazer tela vilão viver herói dizer batman Cavaleiro trevo coringo morcegão matar eu você ? "" animação trazer justamente coesa divertido encantar pra fã universo super-heróis deliciar filme"
Thiago P.,3,"filme animação deixar criança rei leão de ele procurar nemo brindar animação fazer roteiro elaborar humor fazer agradar criança adulto comprovar megamente animação 2010 contar história personagem-título cabeçudo azul enviar terra criança destruição planeta azar nave cair prisão personalidade moldar criminoso conviver Metro man voz brad pitt original terra junto de ele sorte nave cair mansão passar cuidado família rico bem-educado megamente Metro man passar nutrir rivalidade criança escola competiar atenção megamente inteligente ter azar algoz forte conquistar professora aluna deixando-o humilhado passar rivalidade aumentar Metro man tornar herói Metro city megamente cérebro avantajar bolar plano mirabolante destruir inimigo diferentemente história super-heróis protagonista vilão azarar carismático engraçar apesar conseguir meter medo verdade metro man herói canastr orgulhoso cheio se praticamente superman sinal homenagear filme viagem terro destruição planeta passar rosto personalidade Metro man nome cidade Metro city megamente insistir chamar metrócity claro alusão metrópolis cidade homem-de-aço existir inimigo mortal figurar feminino frágil roxanne ritchie dublagem brasileiro virar rosana Rocha repórter cair garra vilão precisar salva herói olhar representação Lois lane assistente hal cinegrafista atrapalhar desempenhar papel importante trama voltar história durante inauguração memorial metro man roxanne sequestrar herói precisar salvar ela acontecer ninguém esperar megamente Metro man cair armadilha destruir megamente cidade começo aproveitar status todo-poderoso Metro city passado algum começar sentir inimigo alguém competir alguém lutar passo começar apaixonar rosana conquistando-a usar identidade falso "" megamente animação fazer ser desenho perfeito cidade ser criação personagem visualmente encaixar parecer artificial exagerar desenrolar trama merecer parabéns carregar diálogo humor desenvolver história maneira envolvente engraçado tirar megamente assistente hilário soar forçar despropositado filme perder ritmo tornar monótono contrário filme passar maneira natural intenso perceber passar trilha sonoro outro alto obra gum n'rose passar ac dc ozzy osbourne encerrar michael jackson música encaixam perfeitamente filme "" megamente filme família fortes animação precisar personagem carismático clima alegre piada bolar ritmo intenso enfim conteúdo grato surpresa considerarr muito animação conteúdo lançar último ano encher cofre estúdio vender produto licenciado acer crítica cineabsoluto.blogspot.com"
Álvaro José S.,1,filme assumir responsabilidade escolhar vida  
Mary M,1,megamente animação histório envolvente personagem construir favorito cumprir papel admitir bom lançar último ano servir adulto criança incrível recomendo assista
apenasumr,1,filme trazer muito coisa historia vilão derrotar heroi arrepender proto filme fraco
Lucas M,1,animação interessante lembrar incrível
Luz do Amanhã,2,bom filme ha errar em ele filme pé cabeça cabeção preferir
Luis R.,2,ótimo!!!faz sátira superman maneira criativo divertido trilha sonoro excelente
Neto S.,2,megamente filme super divertido animaçao historia vilão megamente Will ferrell querer eliminar adversário Metro man brad pitt thiago Lacerda dominarr cidade Metro city necessário plano diabólico tentar anteriormente dia ajudar criar david Cross sequestrar repórter rosane rocha tino fey malvado conseguir inimaginável sumiço herói único contar vida tornar chato inventar herói combater nota 9.0
Estevan Magno,1,diferente animação vilão super herois vilão tornar super herois vice verso vice versa ufa ... história saber .... existir existir
cinetenisverde,1,troca papel eficiente repensar dicotomia hoje dia pessoa livrar superstição antigo religião pregar dicotomia inerente existência filme transporta realidade animação levar esconder algum drama complexo existencial
